neighbor_handle,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,suggested_hangers,near_demo_sites,notifications_needed
13539000180,2025 ADELAIDE AV,63107,1,2,1120,N,3580,Two-family (duplex/flat),2,2104 Harris Avenue,1
13539000190,2029 ADELAIDE AV,63107,1,2,1120,N,770,Two-family (duplex/flat),2,2104 Harris Avenue,1
13539000200,2031 ADELAIDE AV,63107,1,1,1110,N,6000,Single-family residence,1,2104 Harris Avenue,1
13539000230,2039 ADELAIDE AV,63107,1,2,1120,N,12800,Two-family (duplex/flat),2,2104 Harris Avenue,1
13539000250,2049 ADELAIDE AV,63107,1,1,1110,N,12520,Single-family residence,1,2104 Harris Avenue,1
13542000160,2109 ADELAIDE AV,63107,1,2,1120,N,900,Two-family (duplex/flat),2,2104 Harris Avenue,1
13542000180,2117 ADELAIDE AV,63107,1,2,1120,N,720,Two-family (duplex/flat),2,2104 Harris Avenue,1
13542000190,2119 ADELAIDE AV,63107,1,2,1120,N,710,Two-family (duplex/flat),2,2104 Harris Avenue,1
13542000200,2121 ADELAIDE AV,63107,1,1,1110,N,2200,Single-family residence,1,2104 Harris Avenue,1
13542000205,2125 ADELAIDE AV,63107,1,1,1110,N,1020,Single-family residence,1,2104 Harris Avenue,1
13542000210,2127 ADELAIDE AV,63107,1,1,1110,N,4010,Single-family residence,1,2104 Harris Avenue,1
13542000220,2129 ADELAIDE AV,63107,1,2,1120,N,1990,Two-family (duplex/flat),2,2104 Harris Avenue,1
13542000230,2133 ADELAIDE AV,63107,1,1,1110,N,2350,Single-family residence,1,2104 Harris Avenue,1
13542000240,2135-7 ADELAIDE AV,63107,1,4,1140,N,3720,Four-family / small multi-family,4,2104 Harris Avenue,1
13721000450,4573 ALDINE AV,63113,1,2,1120,N,1500,Two-family (duplex/flat),2,1803 Cora Avenue,1
13721000460,4575 ALDINE AV,63113,1,1,1110,N,1570,Single-family residence,1,1803 Cora Avenue,1
13721000500,4587 ALDINE AV,63113,1,2,1120,N,680,Two-family (duplex/flat),2,1803 Cora Avenue,1
13721000510,4589 ALDINE AV,63113,1,1,1110,N,790,Single-family residence,1,1803 Cora Avenue,1
13721000520,4591 ALDINE AV,63113,1,1,1110,N,1790,Single-family residence,1,1803 Cora Avenue,1
13721000530,4593 ALDINE AV,63113,1,1,1110,N,290,Single-family residence,1,1803 Cora Avenue,1
13723000010,4596 ALDINE AV,63113,1,1,1110,N,12840,Single-family residence,1,1803 Cora Avenue,1
14475000050,4635 ALDINE AV,63113,1,1,1110,N,3220,Single-family residence,1,1803 Cora Avenue,1
14475000060,4641 ALDINE AV,63113,1,1,1110,N,1510,Single-family residence,1,1803 Cora Avenue,1
14476000026,4642 ALDINE AV,63113,2,2,1118,N,8170,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue,1
13539000110,5429 ALGERNON ST,63107,1,1,1110,N,5690,Single-family residence,1,2104 Harris Avenue,1
13546000010,4500 ALICE AV,63115,2,1,5000,N,2850,"Commercial/retail, general",1,4016 Carter Avenue,1
13546000020,4502 ALICE AV,63115,1,1,1110,N,4370,Single-family residence,1,4016 Carter Avenue,1
13546000030,4506 ALICE AV,63115,1,1,1110,N,2320,Single-family residence,1,4016 Carter Avenue,1
13546000040,4508 ALICE AV,63115,1,1,1110,N,2120,Single-family residence,1,4016 Carter Avenue,1
13546000050,4510 ALICE AV,63115,1,1,1110,N,3020,Single-family residence,1,4016 Carter Avenue,1
13546000060,4514 ALICE AV,63115,1,1,1110,N,1370,Single-family residence,1,4016 Carter Avenue,1
13546000070,4516 ALICE AV,63115,1,1,1110,N,1930,Single-family residence,1,4016 Carter Avenue,1
