demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
35419130000,2104 Harris Avenue,14421000010,60.0,1955 ADELAIDE AV,63147,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,2104 Harris Avenue
35419130000,2104 Harris Avenue,13541000220,231.8,2131 FAIR AV,63107,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,2104 Harris Avenue
35419130000,2104 Harris Avenue,13539000220,415.0,2037 ADELAIDE AV,63107,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,2104 Harris Avenue
36039020000,4236 Sacramento Avenue,13608000125,89.9,4255 NATURAL BRIDGE AV,63115,0,0,5000,N,100,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,13608000140,205.4,4265 NATURAL BRIDGE AV,63115,0,0,5000,N,600,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,13608000147,305.4,4279 NATURAL BRIDGE AV,63115,0,0,5000,N,1000,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441098181,405.8,4225-7 LEXINGTON AV,63115,0,0,1114,N,7710,Code 1114 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441090070,411.6,3625-7 HARRIS AV,63115,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441090270,417.6,4253 LEXINGTON AV,63115,0,0,1110,Y,840,Single-family residence,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441100060,417.7,4280-8 NATURAL BRIDGE AV,63115,0,0,6994,N,0,Code 6994 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4236 Sacramento Avenue
