demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
56389420000,1825 Cora Avenue,13720000580,330.6,4589 COTE BRILLIANTE AV,63113,0,0,1120,Y,2000,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 2000 (> 0),1803 Cora Avenue; 1825 Cora Avenue
56389420000,1825 Cora Avenue,13718000700,371.5,4607 NORTH MARKET ST,63113,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1825 Cora Avenue; 4565 Saint Ferdinand Avenue; 4615 Saint Ferdinand Avenue; 4649 N Market Street
56389420000,1825 Cora Avenue,14472000300,422.1,2400 MARCUS AV,63113,0,0,5000,N,1980,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 1980 (> 0),1825 Cora Avenue; 4649 N Market Street
56389420000,1825 Cora Avenue,13718000010,491.5,4616 ST FERDINAND AV,63113,0,0,1010,Y,1760,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 1760 (> 0),1825 Cora Avenue; 4565 Saint Ferdinand Avenue; 4615 Saint Ferdinand Avenue; 4649 N Market Street
56389420000,1825 Cora Avenue,13721000050,492.2,4578-80 COTE BRILLIANTE AV,63113,0,0,1120,Y,1860,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 1860 (> 0),1803 Cora Avenue; 1825 Cora Avenue
36199060000,3010 N Newstead Avenue,13619000580,101.5,3025 VINE GROVE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4327 Labadie Avenue
36199060000,3010 N Newstead Avenue,13619000130,179.4,3032 N NEWSTEAD AV,63115,0,0,1110,Y,560,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 560 (> 0),3010 N Newstead Avenue; 4327 Labadie Avenue
36199060000,3010 N Newstead Avenue,13620000040,250.4,3008 VINE GROVE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4327 Labadie Avenue
36199060000,3010 N Newstead Avenue,14469050340,309.4,4427 LABADIE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4458 Elmbank Avenue
36199060000,3010 N Newstead Avenue,14468060770,347.2,4375 ST LOUIS AV,63115,0,0,5000,N,0,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4327 Labadie Avenue
36199060000,3010 N Newstead Avenue,14469060180,348.3,4401-7 ST LOUIS AV,63115,0,0,5000,N,800,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 800 (> 0),3010 N Newstead Avenue
36199060000,3010 N Newstead Avenue,14468060810,378.6,2908 N NEWSTEAD AV,63115,0,0,5000,N,0,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4327 Labadie Avenue
36199060000,3010 N Newstead Avenue,14469050370,419.4,4435 LABADIE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4458 Elmbank Avenue
36199060000,3010 N Newstead Avenue,13618000210,436.5,3121 N NEWSTEAD AV,63115,0,0,6800,N,700,EDUCATIONAL SERVICES,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 700 (> 0),3010 N Newstead Avenue; 4458 Elmbank Avenue; 4461 Elmbank Avenue
36199060000,3010 N Newstead Avenue,14469050400,499.4,4447 LABADIE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),3010 N Newstead Avenue; 4458 Elmbank Avenue
44639410000,4461 Elmbank Avenue,14462050350,338.6,3207 N TAYLOR AV,63115,0,0,1110,Y,2210,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 2210 (> 0),4458 Elmbank Avenue; 4461 Elmbank Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue
44639410000,4461 Elmbank Avenue,14463000150,345.8,4422 ASHLAND AV,63115,0,0,1120,Y,1050,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 1050 (> 0),4458 Elmbank Avenue; 4461 Elmbank Avenue
44489165000,4519 Lexington Avenue,14448050090,204.2,4540 NATURAL BRIDGE AV,63115,0,0,1110,Y,3010,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 3010 (> 0),4519 Lexington Avenue; 4541 Ashland Avenue
44489165000,4519 Lexington Avenue,14448050010,414.7,4562 NATURAL BRIDGE AV,63115,0,0,5000,N,300,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 300 (> 0),4519 Lexington Avenue
37109380000,4615 Labadie Avenue,13710020390,181.2,4557 LABADIE AV,63115,0,0,1010,N,890,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 890 (> 0),4549 Labadie Avenue; 4615 Labadie Avenue
37109380000,4615 Labadie Avenue,13711010220,439.8,4657 ST LOUIS AV,63115,0,0,1110,Y,2250,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 2250 (> 0),4615 Labadie Avenue; 4651 Labadie Avenue
37109380000,4615 Labadie Avenue,13711010230,461.4,4659 ST LOUIS AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4615 Labadie Avenue; 4651 Labadie Avenue
37109380000,4615 Labadie Avenue,13710010220,474.0,4665 LABADIE AV,63115,0,0,6911,N,0,"CHURCHES, SYNAGOGUES AND TEMPLES",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4615 Labadie Avenue; 4651 Labadie Avenue
36209520000,4327 Labadie Avenue,13620000400,354.1,3105 CLARENCE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4327 Labadie Avenue
36209520000,4327 Labadie Avenue,13691000190,476.0,4320 ST LOUIS AV,63115,0,0,6800,N,0,EDUCATIONAL SERVICES,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4327 Labadie Avenue
36209520000,4327 Labadie Avenue,14468140170,495.6,4233 W LABADIE AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4327 Labadie Avenue
37689050000,4926 Page Boulevard,13768030180,184.3,4900-4 PAGE BLVD,63113,0,0,5000,N,0,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000110,345.5,4963 PAGE BLVD,63113,0,0,5000,N,200,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 200 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13785000385,347.6,4871-9 PAGE BLVD,63113,0,0,5000,N,0,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000120,352.2,4965 PAGE BLVD,63113,0,0,5000,N,900,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 900 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000140,380.1,1310 N KINGSHIGHWAY BLVD,63113,0,0,5000,Y,4900,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 4900 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000140,392.8,1238 N EUCLID AV,63113,0,0,1120,Y,3960,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 3960 (> 0),1219 Bayard Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000125,428.9,1230 N EUCLID AV,63113,0,0,1120,Y,4390,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 4390 (> 0),1219 Bayard Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000230,443.0,4868-70 PAGE BLVD,63113,0,0,6911,N,0,"CHURCHES, SYNAGOGUES AND TEMPLES",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1219 Bayard Avenue; 1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000240,473.0,4864 PAGE BLVD,63113,0,0,5000,N,0,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1219 Bayard Avenue; 1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13767000110,489.9,1216 N KINGSHIGHWAY BLVD,63113,0,0,5000,N,5900,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 5900 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13785000370,498.4,4861-3 PAGE BLVD,63113,0,0,6610,N,0,GENERAL CONTRACT - CONSTRUCTION SERVICES,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1336 N Euclid Avenue; 4926 Page Boulevard
