code,description
1,AGRICULTURAL RELATED ACTIVITIES (NEW CODE IS 8200)
1000,RESIDENTIAL
1010,VACANT RESIDENTIAL LOT
1015,VACANT LOT - AGRICULTURAL USE
1017,AGRICULTURAL-RESIDENTIAL USE
1019,COMMERCIAL - AGRICULTURAL USE
110,INVALID CODE ENTERED IN ERROR
1100,HOUSEHOLD UNITS
1110,SINGLE FAMILY UNITS
1111,TOWNHOUSE
1114,CONDOMINIUM - 6 UNITS OR LESS PER BLDG
1115,CONDOMINIUM - MORE THAN 6 UNITS PER BLDG
1116,CONDO GARAGE SPACE
1118,SECTION 42 HOUSING
1120,TWO FAMILY UNIT
1121,MULTI-BUILDING RESIDENTIAL
1122,MULTI-BUILDING RESIDENTIAL
1123,MULTI-BUILDING RESIDENTIAL
1124,MULTI-BUILDING RESIDENTIAL
1125,MULTI-BUILDING RESIDENTIAL
1126,MULTI-BUILDING RESIDENTIAL
1127,MULTI-BUILDING RESIDENTIAL
1128,MULTI-BUILDING RESIDENTIAL
1129,MULTI-BUILDING RESIDENTIAL
1130,THREE FAMILY UNIT
1131,MULTI-BUILDING RESIDENTIAL
1132,MULTI-BUILDING RESIDENTIAL
1133,MULTI-BUILDING RESIDENTIAL
1134,MULTI-BUILDING RESIDENTIAL
1135,MULTI-BUILDING RESIDENTIAL
1136,MULTI-BUILDING RESIDENTIAL
1137,MULTI-BUILDING RESIDENTIAL
1138,MULTI-BUILDING RESIDENTIAL
1139,MULTI-BUILDING RESIDENTIAL
1140,FOUR FAMILY UNIT
1145,RESIDENTIAL SPLIT USE
1150,FIVE FAMILY UNIT
1155,MULTI-BUILDING RESIDENTIAL--CLASSIFIED COMMERCIAL
1160,SIX FAMILY UNIT
1170,SEVEN FAMILY UNIT
1180,EIGHT FAMILY UNIT
1185,MULTI-FAMILY RESIDENTIAL
1190,APARTMENT HOUSES
1200,GROUP QUARTERS
1210,ROOMING AND BOARDING HOUSES
1220,MEMBERSHIP LODGING
1221,FRATERNITY AND SORORITY HOUSES
1230,RESIDENCE HALLS OR DORMITORIES
1231,NURSES RESIDENCES
1232,COLLEGE DORMITORIES
1240,RETIREMENT HOMES AND ORPHANAGES
1241,RETIREMENT HOMES
1242,ORPHANAGES
1250,RELIGIOUS QUARTERS
1251,CONVENTS
1252,MONASTERIES
1253,RECTORIES
1254,NOVITIATES
1255,SEMINARIES
1290,OTHER GROUP QUARTERS
1300,RESIDENTIAL HOTELS
1307,SHORT TERM RENTAL MIXED USE
1310,SHORT TERM RENTAL-SINGLE FAMILY
1314,SHORT TERM RENTAL-CONDOMINIUM - 6 UNITS OR LESS PER BLDG
1315,SHORT TERM RENTAL-CONDOMINIUM - MORE THAN 6 UNITS PER BLDG
1320,SHORT TERM RENTAL-TWO FAMILY
1322,SHORT TERM RENTAL-TWO FAMILY
1330,SHORT TERM RENTAL-THREE FAMILY
1340,SHORT TERM RENTAL-FOUR FAMILY
1350,SHORT TERM RENTALS 5 UNITS
1360,SHORT TERM RENTALS 6 UNITS
1385,SHORT TERM RENTAL-APARTMENT BUILDING
1400,MOBILE HOME PARKS OR COURTS
2000,MANUFACTURING
2010,MANUFACTURER'S REPRESENTATIVE
2100,FOOD AND KINDRED PRODUCTS
2110,MEAT PRODUCTS MANUFACTURING
2111,MEAT PACKING
2112,PREPARED MEAT PRODUCTS - SAUSAGES
